"datetime","chla"
2019-10-01 15:32:01,1.29
2019-10-01 15:37:01,1.69
2019-10-01 15:42:01,1.24
2019-10-01 15:47:01,1.49
2019-10-01 15:52:01,1.2
2019-10-01 15:57:01,1.41
2019-10-01 16:02:01,1.39
2019-10-01 16:07:01,1.48
2019-10-01 16:12:01,1.32
2019-10-01 16:17:01,1.72
2019-10-01 16:22:01,1.37
2019-10-01 16:27:01,1.37
2019-10-01 16:32:01,1.4
2019-10-01 16:37:01,1.73
2019-10-01 16:42:01,1.34
2019-10-01 16:47:01,1.86
2019-10-01 16:52:01,1.8
2019-10-01 16:57:01,1.38
2019-10-01 17:02:01,1.24
2019-10-01 17:07:01,1.18
2019-10-01 17:12:01,1.5
2019-10-01 17:17:01,1.48
2019-10-01 17:22:01,1.43
2019-10-01 17:27:01,1.43
2019-10-01 17:32:01,1.67
2019-10-01 17:37:01,1.36
2019-10-01 17:42:01,3.19
2019-10-01 17:47:01,1.36
2019-10-01 17:52:01,1.44
2019-10-01 17:57:01,1.19
2019-10-01 18:02:01,1.58
2019-10-01 18:07:01,1.45
2019-10-01 18:12:01,1.63
2019-10-01 18:17:01,1.81
2019-10-01 18:22:01,1.88
2019-10-01 18:27:01,1.77
2019-10-01 18:32:01,1.91
2019-10-01 18:37:01,1.39
2019-10-01 18:42:01,2.26
2019-10-01 18:47:01,1.6
2019-10-01 18:52:01,1.85
2019-10-01 18:57:01,1.88
2019-10-01 19:02:01,1.45
2019-10-01 19:07:01,1.58
2019-10-01 19:12:01,1.37
2019-10-01 19:17:01,2.44
2019-10-01 19:22:01,3.15
2019-10-01 19:27:01,2.95
2019-10-01 19:32:01,1.69
2019-10-01 19:37:01,1.64
2019-10-01 19:42:01,1.53
2019-10-01 19:47:01,1.18
2019-10-01 19:57:01,1.74
2019-10-01 20:02:01,2.38
2019-10-01 20:07:01,1.54
2019-10-01 20:12:01,1.69
2019-10-01 20:17:02,1.8
2019-10-01 20:22:01,1.54
2019-10-01 20:27:01,1.68
2019-10-01 20:32:01,1.76
2019-10-01 20:37:01,1.82
2019-10-01 20:42:01,3.56
2019-10-01 20:47:01,2
2019-10-01 20:52:01,2.14
2019-10-01 20:57:01,3.65
2019-10-01 21:02:01,2.23
2019-10-01 21:07:01,1.88
2019-10-01 21:12:01,2.21
2019-10-01 21:17:01,1.89
2019-10-01 21:22:01,1.8
2019-10-01 21:27:01,1.63
2019-10-01 21:32:01,1.7
2019-10-01 21:37:01,2.1
2019-10-01 21:42:01,1.83
2019-10-01 21:47:01,2
2019-10-01 21:52:01,2.35
2019-10-01 21:57:01,1.45
2019-10-01 22:02:01,2.01
2019-10-01 22:07:01,1.78
2019-10-01 22:12:01,2.03
2019-10-01 22:17:01,1.73
2019-10-01 22:22:01,2.17
2019-10-01 22:27:01,2.02
2019-10-01 22:32:01,2.46
2019-10-01 22:37:01,2.01
2019-10-01 22:42:01,1.97
2019-10-01 22:47:01,2.65
2019-10-01 22:52:01,2.45
2019-10-01 22:57:01,2.66
2019-10-02 11:57:01,2.48
2019-10-02 12:02:01,2.45
2019-10-02 12:07:01,2.38
2019-10-02 12:12:01,2.14
2019-10-02 12:17:01,2.15
2019-10-02 12:22:01,2.03
2019-10-02 12:27:11,1.92
2019-10-02 12:32:01,2.28
2019-10-02 12:37:01,1.58
2019-10-02 12:42:01,1.63
2019-10-02 12:47:01,1.7
2019-10-02 12:52:01,1.82
2019-10-02 12:57:01,1.65
2019-10-02 13:02:01,1.85
2019-10-02 13:07:01,1.77
2019-10-02 13:12:11,2.06
2019-10-02 13:17:01,1.83
2019-10-02 13:22:01,1.72
2019-10-02 13:27:11,1.64
2019-10-02 13:32:01,2.11
2019-10-02 13:37:01,1.72
2019-10-02 13:42:01,1.73
2019-10-02 13:47:01,1.52
2019-10-02 13:52:01,1.62
2019-10-02 13:57:01,1.51
2019-10-02 14:02:01,1.94
2019-10-02 14:07:01,1.6
2019-10-02 14:12:01,1.97
2019-10-02 14:17:01,1.72
2019-10-02 14:22:01,1.62
2019-10-02 14:27:01,1.62
2019-10-02 14:32:01,1.88
2019-10-02 14:37:01,1.57
2019-10-02 14:42:01,1.28
2019-10-02 14:47:11,1.4
2019-10-02 14:52:01,1.3
2019-10-02 14:57:01,2.03
2019-10-02 15:02:01,1.72
2019-10-02 15:07:01,1.66
2019-10-02 15:12:01,1.85
2019-10-02 15:17:01,1.6
2019-10-02 15:22:01,1.59
2019-10-02 15:27:01,0.82
2019-10-02 15:32:11,1.25
2019-10-02 15:37:01,1.34
2019-10-02 15:42:01,1.59
2019-10-02 15:47:01,1.24
2019-10-02 15:52:01,2.03
2019-10-02 15:57:01,1.47
2019-10-02 16:02:01,1.69
2019-10-02 16:07:01,1.42
2019-10-02 16:12:11,1.62
2019-10-02 16:17:01,1.54
2019-10-02 16:22:01,1.51
2019-10-02 16:27:01,1.03
2019-10-02 16:32:11,1.4
2019-10-02 16:37:01,1.38
2019-10-02 16:42:01,1.27
2019-10-02 16:47:01,1.35
2019-10-02 16:52:01,1.37
2019-10-02 16:57:11,1.38
2019-10-02 17:02:01,1.48
2019-10-02 17:07:01,1.51
2019-10-02 17:12:01,1.5
2019-10-02 17:17:01,1.66
2019-10-02 17:22:01,1.71
2019-10-02 17:27:01,1.38
2019-10-02 17:32:01,2.03
2019-10-02 17:37:01,2.08
2019-10-02 17:42:01,2.32
2019-10-02 17:47:01,1.47
2019-10-02 17:52:01,1.53
2019-10-02 17:57:01,1.62
2019-10-02 18:02:01,1.45
2019-10-02 18:07:01,2.06
2019-10-02 18:12:01,2.48
2019-10-02 18:17:01,2.03
2019-10-02 18:22:01,1.77
2019-10-02 18:27:11,1.59
2019-10-02 18:32:01,1.65
2019-10-02 18:37:01,1.74
2019-10-02 18:42:01,1.81
2019-10-02 18:47:01,1.76
2019-10-02 18:52:11,2
2019-10-02 18:57:01,1.74
2019-10-02 19:02:01,1.6
2019-10-02 19:07:01,3.26
2019-10-02 19:12:01,1.73
2019-10-02 19:17:01,2.32
2019-10-02 19:22:01,1.88
2019-10-02 19:27:01,1.84
2019-10-02 19:32:01,3.94
2019-10-02 19:37:01,1.87
2019-10-02 19:42:01,1.64
2019-10-02 19:47:01,1.87
2019-10-02 19:52:01,1.92
2019-10-02 19:57:01,1.63
2019-10-02 20:02:01,1.63
2019-10-02 20:07:01,2.15
2019-10-02 20:12:11,1.73
2019-10-02 20:17:01,2.67
2019-10-02 20:22:01,3.25
2019-10-02 20:27:01,1.71
2019-10-02 20:32:01,2.29
2019-10-02 20:37:11,1.8
2019-10-02 20:42:02,1.71
2019-10-02 20:47:01,2.13
2019-10-02 20:52:01,2.04
2019-10-02 20:57:01,1.77
2019-10-02 21:02:01,2.13
2019-10-02 21:07:01,3.03
2019-10-02 21:12:01,2.42
2019-10-02 21:17:01,1.77
2019-10-02 21:22:11,2.03
2019-10-02 21:27:01,2.66
2019-10-02 21:32:01,2.91
2019-10-02 21:37:01,2.08
2019-10-02 21:42:01,2.39
2019-10-02 21:47:11,1.96
2019-10-02 21:52:01,1.78
2019-10-02 21:57:01,2.19
2019-10-02 22:02:01,2.37
2019-10-02 22:07:01,2.33
2019-10-02 22:12:11,2.39
2019-10-02 22:17:01,3.39
2019-10-02 22:22:11,2.1
2019-10-02 22:27:01,2.57
2019-10-02 22:32:01,2.14
2019-10-02 22:37:01,3
2019-10-02 22:42:01,3.49
2019-10-02 22:47:01,2.57
2019-10-02 22:52:01,4.76
2019-10-02 22:57:11,2.26
2019-10-02 23:02:01,2.41
2019-10-02 23:07:01,3.69
2019-10-02 23:12:01,2.86
2019-10-02 23:17:01,2.18
2019-10-02 23:22:01,2.76
2019-10-02 23:27:01,2.09
2019-10-02 23:32:01,2.7
2019-10-02 23:37:01,2.32
2019-10-02 23:42:01,2.1
2019-10-03 11:57:11,2.44
2019-10-03 12:02:01,2.16
2019-10-03 12:07:01,2.19
2019-10-03 12:12:01,1.95
2019-10-03 12:17:01,1.76
2019-10-03 12:22:01,2.09
2019-10-03 12:27:01,2.17
2019-10-03 12:32:01,2.14
2019-10-03 12:37:01,2.1
2019-10-03 12:42:01,1.97
2019-10-03 12:47:01,2.11
2019-10-03 12:52:01,3.59
2019-10-03 12:57:01,2.15
2019-10-03 13:02:01,1.95
2019-10-03 13:07:01,1.91
2019-10-03 13:12:01,2.02
2019-10-03 13:17:01,2.2
2019-10-03 13:22:11,1.91
2019-10-03 13:27:01,1.91
2019-10-03 13:32:01,1.62
2019-10-03 13:37:01,1.29
2019-10-03 13:42:01,1.77
2019-10-03 13:47:01,1.55
2019-10-03 13:52:01,1.63
2019-10-03 13:57:01,3.47
2019-10-03 14:02:01,1.82
2019-10-03 14:07:01,1.27
2019-10-03 14:12:01,2.07
2019-10-03 14:17:01,1.73
2019-10-03 14:22:01,1.81
2019-10-03 14:27:01,2.05
2019-10-03 14:32:11,1.66
2019-10-03 14:37:01,1.71
2019-10-03 14:42:11,1.85
2019-10-03 14:47:01,1.75
2019-10-03 14:52:01,1.4
2019-10-03 14:57:01,1.59
2019-10-03 15:02:01,1.37
2019-10-03 15:07:01,1.56
2019-10-03 15:12:11,1.35
2019-10-03 15:17:11,1.56
2019-10-03 15:22:01,2.16
2019-10-03 15:27:01,1.5
2019-10-03 15:32:01,1.5
2019-10-03 15:37:01,1.6
2019-10-03 15:42:11,1.53
2019-10-03 15:47:01,1.75
2019-10-03 15:52:01,1.63
2019-10-03 15:57:01,2.39
2019-10-03 16:02:01,2.12
2019-10-03 16:07:01,2.4
2019-10-03 16:12:01,2
2019-10-03 16:17:01,1.37
2019-10-03 16:22:01,2.41
2019-10-03 16:27:01,1.85
2019-10-03 16:32:01,1.51
2019-10-03 16:37:11,1.59
2019-10-03 16:42:01,1.88
2019-10-03 16:47:01,1.92
2019-10-03 16:52:01,1.4
2019-10-03 16:57:01,1.77
2019-10-03 17:02:11,2.03
2019-10-03 17:07:01,1.77
2019-10-03 17:12:01,1.62
2019-10-03 17:17:11,1.84
2019-10-03 17:22:01,2.08
2019-10-03 17:27:11,2.37
2019-10-03 17:32:01,2.3
2019-10-03 17:37:01,2.64
2019-10-03 17:42:01,2.89
2019-10-03 17:47:01,2.07
2019-10-03 17:52:01,2.25
2019-10-03 17:57:01,2.16
2019-10-03 18:02:01,2.8
2019-10-03 18:07:01,1.94
2019-10-03 18:12:11,2.68
2019-10-03 18:17:01,2.88
2019-10-03 18:22:01,1.56
2019-10-03 18:27:01,2.3
2019-10-03 18:32:01,2.35
2019-10-03 18:37:01,2.28
2019-10-03 18:42:01,2.6
2019-10-03 18:47:11,3.02
2019-10-03 18:52:01,3.02
2019-10-03 18:57:01,2.19
2019-10-03 19:02:01,2.36
2019-10-03 19:07:01,2.13
2019-10-03 19:12:01,2.09
2019-10-03 19:17:01,2.11
2019-10-03 19:22:01,5.04
2019-10-03 19:27:11,2.09
2019-10-03 19:32:01,2.8
2019-10-03 19:37:01,2.49
2019-10-03 19:42:01,2.79
2019-10-03 19:47:01,1.65
2019-10-03 19:52:01,2.24
2019-10-03 19:57:01,3.41
2019-10-03 20:02:01,1.89
2019-10-03 20:07:01,2.34
2019-10-03 20:12:01,2.74
2019-10-03 20:17:01,2.07
2019-10-03 20:22:01,2.01
2019-10-03 20:27:01,2.27
2019-10-03 20:32:01,2.27
2019-10-03 20:37:01,2.19
2019-10-03 20:42:01,2.39
2019-10-03 20:47:11,2.18
2019-10-03 20:52:01,2.5
2019-10-03 20:57:01,4.55
2019-10-03 21:02:01,2.24
2019-10-03 21:07:01,1.84
2019-10-03 21:12:01,2.46
2019-10-03 21:17:01,2.23
2019-10-03 21:22:01,2.4
2019-10-03 21:27:01,2.35
2019-10-03 21:32:01,2.41
2019-10-03 21:37:01,3.07
2019-10-03 21:42:01,2.28
2019-10-03 21:47:01,3.27
2019-10-03 21:52:01,2.48
2019-10-03 21:57:01,2.41
2019-10-03 22:02:01,2.22
2019-10-03 22:07:01,2.2
2019-10-03 22:12:01,2.25
2019-10-03 22:17:01,3.07
2019-10-03 22:22:01,2.28
2019-10-03 22:27:01,3.08
2019-10-03 22:32:01,2.37
2019-10-03 22:37:01,2.32
2019-10-03 22:42:01,2.93
2019-10-03 22:47:11,2.49
2019-10-03 22:52:11,2.41
2019-10-03 22:57:01,2.23
2019-10-03 23:02:01,2.74
2019-10-03 23:07:01,2.77
2019-10-03 23:12:01,2.4
2019-10-03 23:17:11,2.66
2019-10-03 23:22:01,2.51
2019-10-03 23:27:11,2.92
2019-10-04 11:57:01,2.25
2019-10-04 12:02:01,2.56
2019-10-04 12:07:01,2.27
2019-10-04 12:12:01,2.61
2019-10-04 12:17:01,2.56
2019-10-04 12:22:01,2.21
2019-10-04 12:27:01,2.24
2019-10-04 12:32:01,2.17
2019-10-04 12:37:01,2.03
2019-10-04 12:42:01,1.98
2019-10-04 12:47:01,2.85
2019-10-04 12:52:01,1.86
2019-10-04 12:57:02,2.36
2019-10-04 13:02:01,2.21
2019-10-04 13:07:01,2.22
2019-10-04 13:12:01,2.74
2019-10-04 13:17:01,2.21
2019-10-04 13:22:01,2.02
2019-10-04 13:27:01,1.98
2019-10-04 13:32:01,2.41
2019-10-04 13:37:01,2.04
2019-10-04 13:42:01,1.73
2019-10-04 13:47:01,2.05
2019-10-04 13:52:01,1.91
2019-10-04 13:57:01,2.1
2019-10-04 14:02:01,1.77
2019-10-04 14:07:01,1.82
2019-10-04 14:12:01,1.61
2019-10-04 14:17:01,1.51
2019-10-04 14:22:01,1.75
2019-10-04 14:27:01,1.45
2019-10-04 14:32:01,1.54
2019-10-04 14:37:01,1.82
2019-10-04 14:42:01,1.68
2019-10-04 14:47:01,1.66
2019-10-04 14:52:01,3.61
2019-10-04 14:57:01,1.74
2019-10-04 15:02:01,1.85
2019-10-04 15:07:01,1.61
2019-10-04 15:12:01,1.5
2019-10-04 15:17:01,1.93
2019-10-04 15:22:01,1.43
2019-10-04 15:27:01,1.3
2019-10-04 15:32:01,1.58
2019-10-04 15:37:01,1.42
2019-10-04 15:42:01,1.47
2019-10-04 15:47:01,1.71
2019-10-04 15:52:01,2
2019-10-04 15:57:01,2.63
2019-10-04 16:02:01,1.67
2019-10-04 16:07:01,1.77
2019-10-04 16:12:01,1.59
2019-10-04 16:17:01,1.77
2019-10-04 16:22:01,1.67
2019-10-04 16:27:01,1.65
2019-10-04 16:32:01,1.84
2019-10-04 16:37:01,1.75
2019-10-04 16:42:01,1.63
2019-10-04 16:47:01,1.6
2019-10-04 16:52:01,2.49
2019-10-04 16:57:01,1.6
2019-10-04 17:02:01,1.75
2019-10-04 17:07:01,1.78
2019-10-04 17:12:01,1.66
2019-10-04 17:17:01,1.93
2019-10-04 17:22:01,1.79
2019-10-04 17:27:01,2.99
2019-10-04 17:32:01,1.64
2019-10-04 17:37:01,2.15
2019-10-04 17:42:01,2.07
2019-10-04 17:47:01,2.22
2019-10-04 17:52:01,2.13
2019-10-04 17:57:01,1.89
2019-10-04 18:02:01,1.84
2019-10-04 18:07:01,1.87
2019-10-04 18:12:01,1.7
2019-10-04 18:17:01,3.36
2019-10-04 18:22:01,2.62
2019-10-04 18:27:01,1.85
2019-10-04 18:32:01,1.91
2019-10-04 18:37:01,1.86
2019-10-04 18:42:01,1.59
2019-10-04 18:47:01,1.48
2019-10-04 18:52:01,1.33
2019-10-04 18:57:01,1.11
2019-10-04 19:02:01,1.68
2019-10-04 19:07:01,1.44
2019-10-04 19:12:01,1.3
2019-10-04 19:17:01,2.02
2019-10-04 19:22:01,1.77
2019-10-04 19:27:01,1.62
2019-10-04 19:32:01,2.85
2019-10-04 19:37:01,1.66
2019-10-04 19:42:01,1.37
2019-10-04 19:47:01,1.7
2019-10-04 19:52:01,1.79
2019-10-04 19:57:01,1.64
2019-10-04 20:02:02,1.51
2019-10-04 20:07:01,1.9
2019-10-04 20:12:01,2.02
2019-10-04 20:17:01,1.5
2019-10-04 20:22:01,1.54
2019-10-04 20:27:01,1.66
2019-10-04 20:32:01,2.08
2019-10-04 20:37:01,1.57
2019-10-04 20:42:01,1.65
2019-10-04 20:47:01,2.29
2019-10-04 20:52:01,1.51
2019-10-04 20:57:01,1.91
2019-10-04 21:02:01,1.38
2019-10-04 21:07:01,1.62
2019-10-04 21:12:01,3.8
2019-10-04 21:17:01,1.95
2019-10-04 21:22:01,1.89
2019-10-04 21:27:01,1.59
2019-10-04 21:32:01,1.96
2019-10-04 21:37:01,2.3
2019-10-04 21:42:01,2.06
2019-10-04 21:47:01,1.64
2019-10-04 21:52:01,1.78
2019-10-04 21:57:01,2.09
2019-10-04 22:02:01,2.04
2019-10-04 22:07:01,1.81
2019-10-04 22:12:01,2.88
2019-10-04 22:17:01,3.28
2019-10-04 22:22:01,1.99
2019-10-04 22:27:01,1.98
2019-10-04 22:32:01,2.3
2019-10-04 22:37:01,1.87
2019-10-04 22:42:01,2.08
2019-10-04 22:47:01,2.5
2019-10-04 22:52:01,2.18
2019-10-04 22:57:01,2.74
2019-10-04 23:02:01,2.19
2019-10-04 23:07:01,2.15
2019-10-04 23:12:01,2.03
2019-10-04 23:17:01,2.12
2019-10-04 23:22:01,4.01
2019-10-04 23:27:01,2.23
2019-10-05 12:07:01,2.62
2019-10-05 12:12:01,1.95
2019-10-05 12:17:01,2.74
2019-10-05 12:22:01,2.17
2019-10-05 12:27:01,2.49
2019-10-05 12:32:01,2.07
2019-10-05 12:37:01,2.17
2019-10-05 12:42:01,2.5
2019-10-05 12:47:01,2.14
2019-10-05 12:52:01,2.1
2019-10-05 12:57:01,2.07
2019-10-05 13:02:01,2.13
2019-10-05 13:07:01,1.95
2019-10-05 13:12:11,2
2019-10-05 13:17:01,1.87
2019-10-05 13:22:01,2.04
2019-10-05 13:27:01,2.11
2019-10-05 13:32:01,2.02
2019-10-05 13:37:01,2.09
2019-10-05 13:42:11,1.88
2019-10-05 13:47:01,2.17
2019-10-05 13:52:01,2.12
2019-10-05 13:57:01,1.8
2019-10-05 14:02:01,1.86
2019-10-05 14:07:01,2.83
2019-10-05 14:12:01,1.63
2019-10-05 14:17:01,2
2019-10-05 14:22:01,1.61
2019-10-05 14:27:01,1.57
2019-10-05 14:32:01,1.65
2019-10-05 14:37:01,1.47
2019-10-05 14:42:11,1.37
2019-10-05 14:47:01,1.76
2019-10-05 14:52:11,1.56
2019-10-05 14:57:01,1.69
2019-10-05 15:02:11,1.76
2019-10-05 15:07:01,2.01
2019-10-05 15:12:01,2.39
2019-10-05 15:17:01,1.42
2019-10-05 15:22:01,1.94
2019-10-05 15:27:01,1.64
2019-10-05 15:32:01,2.22
2019-10-05 15:37:01,1.57
2019-10-05 15:42:01,1.77
2019-10-05 15:47:01,2.13
2019-10-05 15:52:01,2.01
2019-10-05 15:57:11,2.25
2019-10-05 16:02:01,4.54
2019-10-05 16:07:01,2.6
2019-10-05 16:12:01,2.54
2019-10-05 16:17:01,1.79
2019-10-05 16:22:01,1.99
2019-10-05 16:27:01,1.9
2019-10-05 16:32:01,2.55
2019-10-05 16:37:01,1.74
2019-10-05 16:42:01,1.65
2019-10-05 16:47:01,2.02
2019-10-05 16:52:01,2.1
2019-10-05 16:57:01,1.98
2019-10-05 17:02:01,1.78
2019-10-05 17:07:01,2.2
2019-10-05 17:12:01,2.06
2019-10-05 17:17:11,1.79
2019-10-05 17:22:11,1.95
2019-10-05 17:27:01,3.24
2019-10-05 17:32:01,2.39
2019-10-05 17:37:01,2.13
2019-10-05 17:42:01,2.35
2019-10-05 17:47:01,2.23
2019-10-05 17:52:01,2.17
2019-10-05 17:57:01,3.3
2019-10-05 18:02:01,2.61
2019-10-05 18:07:01,2.12
2019-10-05 18:12:01,2.41
2019-10-05 18:17:01,2.13
2019-10-05 18:22:01,2.12
2019-10-05 18:27:01,2.13
2019-10-05 18:32:01,1.98
2019-10-05 18:37:01,2.15
2019-10-05 18:42:01,2.03
2019-10-05 18:47:11,2.11
2019-10-05 18:52:01,2.26
2019-10-05 18:57:01,2.31
2019-10-05 19:02:01,2.22
2019-10-05 19:07:01,2.29
2019-10-05 19:12:01,1.89
2019-10-05 19:17:01,2.34
2019-10-05 19:22:01,2.5
2019-10-05 19:27:11,2.22
2019-10-05 19:32:01,2.53
2019-10-05 19:37:01,2.29
2019-10-05 19:42:01,2.22
2019-10-05 19:47:01,2.43
2019-10-05 19:52:01,2.58
2019-10-05 19:57:01,2.24
2019-10-05 20:02:01,2.32
2019-10-05 20:07:01,3.72
2019-10-05 20:12:01,3.3
2019-10-05 20:17:01,2.62
2019-10-05 20:22:01,3.93
2019-10-05 20:27:01,2.74
2019-10-05 20:32:01,2.31
2019-10-05 20:37:11,2.4
2019-10-05 20:42:01,1.9
2019-10-05 20:47:01,2.77
2019-10-05 20:52:01,2.42
2019-10-05 20:57:01,2.77
2019-10-05 21:02:01,2.3
2019-10-05 21:07:01,2.28
2019-10-05 21:12:01,2.45
2019-10-05 21:17:01,2.53
2019-10-05 21:22:01,2.45
2019-10-05 21:27:01,2.48
2019-10-05 21:32:01,2.53
2019-10-05 21:37:01,3.42
2019-10-05 21:42:01,2.31
2019-10-05 21:47:01,2.43
2019-10-05 21:52:01,2.29
2019-10-05 21:57:01,2.38
2019-10-05 22:02:01,2.88
2019-10-05 22:07:01,2.63
2019-10-05 22:12:11,2.88
2019-10-05 22:17:01,2.89
2019-10-05 22:22:01,3.56
2019-10-05 22:27:01,5.41
2019-10-05 22:32:11,2.85
2019-10-05 22:37:01,2.71
2019-10-05 22:42:01,4.15
2019-10-05 22:47:01,3.06
2019-10-05 22:52:01,2.81
2019-10-05 22:57:01,2.91
2019-10-05 23:02:01,2.79
2019-10-05 23:07:01,2.96
2019-10-05 23:12:01,3.29
2019-10-05 23:17:01,4.46
2019-10-05 23:22:11,3.06
2019-10-05 23:27:01,4.02
2019-10-05 23:32:11,3.29
2019-10-05 23:37:01,3.04
2019-10-05 23:42:01,3.05
2019-10-05 23:47:01,3.26
2019-10-05 23:52:11,4.32
2019-10-05 23:57:01,3.19
2019-10-06 00:02:01,4.29
2019-10-06 00:07:01,3.06
2019-10-06 00:12:01,3.64
2019-10-06 00:17:01,3.16
2019-10-06 00:22:01,3.1
2019-10-06 00:27:01,3.03
2019-10-06 00:32:01,3.28
2019-10-06 00:37:01,2.92
2019-10-06 00:42:01,4.63
2019-10-06 00:47:01,2.93
2019-10-06 00:52:01,3.02
2019-10-06 00:57:01,3.22
2019-10-06 01:02:01,3.03
2019-10-06 01:07:01,3.08
2019-10-06 01:12:01,4.61
2019-10-06 01:17:01,2.73
2019-10-06 01:22:01,3
2019-10-06 01:27:01,2.9
2019-10-06 01:32:01,3.13
2019-10-06 01:37:01,2.92
2019-10-06 01:42:01,3.11
2019-10-06 01:47:01,5.05
2019-10-06 01:52:11,3.07
2019-10-06 01:57:01,2.99
2019-10-06 02:02:01,2.7
2019-10-06 02:07:01,3.27
2019-10-06 02:12:01,3.09
2019-10-06 02:17:01,2.71
2019-10-06 02:22:01,4.97
2019-10-06 02:27:02,2.94
2019-10-06 02:32:01,2.94
2019-10-06 02:37:01,3.86
2019-10-06 02:42:01,2.75
2019-10-06 02:47:01,2.78
2019-10-06 02:52:01,2.83
2019-10-06 02:57:01,2.71
2019-10-06 03:02:01,2.85
2019-10-06 03:07:01,3.08
2019-10-06 03:12:01,3.36
2019-10-06 03:17:01,4.37
2019-10-06 03:22:01,3.4
2019-10-06 03:27:11,3.5
2019-10-06 03:32:01,3.49
2019-10-06 03:37:01,3.19
2019-10-06 03:42:01,4.76
2019-10-06 03:47:01,3.48
2019-10-06 03:52:01,3.3
2019-10-06 03:57:01,3.2
2019-10-06 12:22:00,2.17
2019-10-06 12:27:01,1.86
2019-10-06 12:32:01,1.8
2019-10-06 12:37:01,2.03
2019-10-06 12:42:01,2.04
2019-10-06 12:47:01,1.89
2019-10-06 12:52:01,1.76
2019-10-06 12:57:01,2.17
2019-10-06 13:02:01,2.07
2019-10-06 13:07:01,2
2019-10-06 13:12:01,2
2019-10-06 13:17:01,1.99
2019-10-06 13:22:01,2.3
2019-10-06 13:27:01,1.67
2019-10-06 13:32:01,1.79
2019-10-06 13:37:01,1.79
2019-10-06 13:42:01,2.63
2019-10-06 13:47:01,1.85
2019-10-06 13:52:01,2.01
2019-10-06 13:57:01,1.67
2019-10-06 14:02:01,1.85
2019-10-06 14:07:01,1.7
2019-10-06 14:12:01,1.81
2019-10-06 14:17:01,2.05
2019-10-06 14:22:01,1.96
2019-10-06 14:27:01,1.9
2019-10-06 14:32:01,1.96
2019-10-06 14:37:11,1.99
2019-10-06 14:42:01,1.83
2019-10-06 14:47:01,2.2
2019-10-06 14:52:01,1.87
2019-10-06 14:57:01,1.99
2019-10-06 15:02:01,1.81
2019-10-06 15:07:01,2.11
2019-10-06 15:12:01,2
2019-10-06 15:17:11,1.86
2019-10-06 15:22:01,2.05
2019-10-06 15:27:01,2.09
2019-10-06 15:32:01,1.82
2019-10-06 15:37:11,1.99
2019-10-06 15:42:01,2.09
2019-10-06 15:47:01,1.7
2019-10-06 15:52:11,1.83
2019-10-06 15:57:11,1.82
2019-10-06 16:02:01,1.62
2019-10-06 16:07:01,2.04
2019-10-06 16:12:01,1.98
2019-10-06 16:17:01,2.02
2019-10-06 16:22:01,1.77
2019-10-06 16:27:01,2.15
2019-10-06 16:32:01,1.97
2019-10-06 16:37:01,1.66
2019-10-06 16:42:01,1.8
2019-10-06 16:47:01,1.97
2019-10-06 16:52:01,2.08
2019-10-06 16:57:01,1.87
2019-10-06 17:02:01,1.69
2019-10-06 17:07:01,1.84
2019-10-06 17:12:01,1.79
2019-10-06 17:17:01,2.02
2019-10-06 17:22:01,1.99
2019-10-06 17:27:01,2.02
2019-10-06 17:32:01,2
2019-10-06 17:37:01,2.03
2019-10-06 17:42:01,2.22
2019-10-06 17:47:01,2.04
2019-10-06 17:52:01,2.4
2019-10-06 17:57:01,2.25
2019-10-06 18:02:01,1.91
2019-10-06 18:07:01,1.94
2019-10-06 18:12:01,2.07
2019-10-06 18:17:01,2.05
2019-10-06 18:22:01,2.23
2019-10-06 18:27:01,2.75
2019-10-06 18:32:01,2.85
2019-10-06 18:37:01,2.32
2019-10-06 18:42:01,2.63
2019-10-06 18:47:01,2.81
2019-10-06 18:52:01,2.27
2019-10-06 18:57:01,2.3
2019-10-06 19:02:01,2.28
2019-10-06 19:07:01,2.22
2019-10-06 19:12:01,2
2019-10-06 19:17:01,2.32
2019-10-06 19:22:01,3.36
2019-10-06 19:27:11,1.94
2019-10-06 19:32:11,2.17
2019-10-06 19:37:01,2.14
2019-10-06 19:42:01,2.41
2019-10-06 19:47:01,2.28
2019-10-06 19:52:01,2.27
2019-10-06 19:57:01,2.32
2019-10-06 20:02:01,2.11
2019-10-06 20:07:01,2.43
2019-10-06 20:12:01,2.12
2019-10-06 20:17:01,2.01
2019-10-06 20:22:01,1.89
2019-10-06 20:27:01,2.31
2019-10-06 20:32:01,2.28
2019-10-06 20:37:01,1.92
2019-10-06 20:42:01,1.87
2019-10-06 20:47:01,1.95
2019-10-06 20:52:11,1.93
2019-10-06 20:57:01,2.14
2019-10-06 21:02:01,2.04
2019-10-06 21:07:01,2.05
2019-10-06 21:12:11,2.23
2019-10-06 21:17:01,2.26
2019-10-06 21:22:01,2.12
2019-10-06 21:27:01,2.26
2019-10-06 21:32:01,2.47
2019-10-06 21:37:01,2.07
2019-10-06 21:42:01,2.33
2019-10-06 21:47:11,2.45
2019-10-06 21:52:01,2.33
2019-10-06 21:57:01,2.2
2019-10-06 22:02:01,2.34
2019-10-06 22:07:01,2.17
2019-10-06 22:12:01,2.43
2019-10-06 22:17:01,1.87
2019-10-06 22:22:01,2.06
2019-10-06 22:27:01,2.45
2019-10-06 22:32:01,2.32
2019-10-06 22:37:01,2.23
